section,text
Geography -> Ecology,"The primary biome of inland Massachusetts is temperate deciduous forest.
Although much of Massachusetts had been cleared for agriculture, leaving only traces of old-growth forest in isolated pockets, secondary growth has regenerated in many rural areas as farms have been abandoned. Forests cover around 62% of Massachusetts. The areas most affected by human development include the Greater Boston area in the east and the Springfield metropolitan area in the west, although the latter includes agricultural areas throughout the Connecticut River Valley. There are 219 endangered species in Massachusetts.
A number of species are doing well in the increasingly urbanized Massachusetts. Peregrine falcons utilize office towers in larger cities as nesting areas, and the population of coyotes, whose diet may include garbage and roadkill, has been increasing in recent decades. White-tailed deer, raccoons, wild turkeys, and eastern gray squirrels are also found throughout Massachusetts. In more rural areas in the western part of Massachusetts, larger mammals such as moose and black bears have returned, largely due to reforestation following the regional decline in agriculture.
Massachusetts is located along the Atlantic Flyway, a major route for migratory waterfowl along the eastern coast. Lakes in central Massachusetts provide habitat for many species of fish and waterfowl, but some species such as the common loon are becoming rare. A significant population of long-tailed ducks winter off Nantucket. Small offshore islands and beaches are home to roseate terns and are important breeding areas for the locally threatened piping plover. Protected areas such as the Monomoy National Wildlife Refuge provide critical breeding habitat for shorebirds and a variety of marine wildlife including a large population of grey seals. Since 2009, there has been a significant increase in the number of Great white sharks spotted and tagged in the coastal waters off of Cape Cod.
Freshwater fish species in Massachusetts include bass, carp, catfish, and trout, while saltwater species such as Atlantic cod, haddock, and American lobster populate offshore waters. Other marine species include Harbor seals, the endangered North Atlantic right whales, as well as humpback whales, fin whales, minke whales, and Atlantic white-sided dolphins.
The European corn borer, a significant agricultural pest, was first found in North America near Boston, Massachusetts in 1917."
Geography -> Climate,"Most of Massachusetts has a humid continental climate, with cold winters and warm summers. Far southeast coastal areas are the broad transition zone to Humid Subtropical climates. The warm to hot summers render the oceanic climate rare in this transition, only applying to exposed coastal areas such as on the peninsula of Barnstable County. The climate of Boston is quite representative for the commonwealth, characterized by summer highs of around 81 °F (27 °C) and winter highs of 35 °F (2 °C), and is quite wet. Frosts are frequent all winter, even in coastal areas due to prevailing inland winds. Boston has a relatively sunny climate for a coastal city at its latitude, averaging over 2,600 hours of sunshine a year."
Environmental issues -> Climate change,"Climate change in Massachusetts will affect both urban and rural environments, including forestry, fisheries, agriculture, and coastal development. The Northeast is projected to warm faster than global average temperatures; by 2035, according to the U. S. Global Change Research Program, the Northeast is ""projected to be more than 3.6°F (2°C) warmer on average than during the preindustrial era"". As of August 2016, the EPA reports that Massachusetts has warmed by over two degrees Fahrenheit, or 1.1 degrees Celsius.
Shifting temperatures also result in the shifting of rainfall patterns and the intensification of precipitation events. To that end, average precipitation in the Northeast United States has risen by ten percent from 1895 to 2011, and the number of heavy precipitation events has increased by seventy percent during that time. These increased precipitation patterns are focused in the winter and spring. Increasing temperatures coupled with increasing precipitation will result in earlier snow melts and subsequent drier soil in the summer months.
The shifting climate in Massachusetts will result in a significant change to the state's built environment and ecosystems. In Boston alone, costs of climate change-related storms will result in $5 to $100 billion in damage.
Warmer temperatures will also disrupt bird migration and flora blooming. With these changes, deer populations are expected to increase, resulting in a decrease in underbrush which smaller fauna use as camouflage. Additionally, rising temperatures will increase the number of reported Lyme disease cases in the state. Ticks can transmit the disease once temperatures reach 45 degrees, so shorter winters will increase the window of transmission. These warmer temperatures will also increase the prevalence of Asian tiger mosquitoes, which often carry the West Nile virus.
To fight this change, the Massachusetts Executive Office of Energy and Environmental Affairs has outlined a path to decarbonize the state's economy. On April 22, 2020, Kathleen A. Theoharides, the state's Secretary of Energy and Environmental Affairs, released a Determination of Statewide Emissions limits for 2050. In her letter, Theoharides stresses that as of 2020, the Commonwealth has experienced property damage attributable to climate change of more than $60 billion. To ensure that the Commonwealth experiences warming no more than 1.5 °C of pre-industrialization levels, the state will work towards two goals by 2050: to achieve net-zero emissions, and to reduce greenhouse gas emissions by 85 percent overall."
Environmental issues -> Power initiatives,"The State of Massachusetts has developed a plethora of incentives to encourage the implementation of renewable energy and efficient appliances and home facilities. The Mass Save program, formed in conjunction with the State by several companies that provide power and gas in Massachusetts, provides homeowners and renters with monetary incentives to retrofit their homes with efficient HVAC equipment and other household appliances. Appliances such as water heaters, air conditioners, washers and driers, and heat pumps are eligible for rebates in order to incentivize change.
The concept of MassSave was created in 2008 by the passing of the Green Communities Act of 2008, during Deval Patrick's tenure as governor. The main goal of the Green Communities Act was to reduce the consumption of fossil fuels in the State and to encourage new, more efficient technologies. Among others, one result of this act was a requirement for Program Administrators of utilities to invest in saving energy, as opposed to purchasing and generating additional energy where economically feasible. In Massachusetts, eleven Program Administrators, including Eversource, National Grid, Western Massachusetts Electric, Cape Light Compact, Until, and Berkshire Gas, jointly own the rights to this program, in conjunction with the Department of Energy Resources (DOER) and the Energy Efficiency Advisory Council (EEAC).
The State Revenue Service provides incentives for the installation of solar panels. In addition to the Federal Residential Renewable energy credit, Massachusetts residents may be eligible for a tax credit of up to 15 percent of the project. Once installed, arrays are eligible for net metering. Certain municipalities will offer up to $1.20 per watt, up to 50 percent of the system's cost on PV arrays 25 kW or less. The Massachusetts Department of Energy Resources also offered low-interest, fixed-rate financing with loan support for low-income residents until December 31, 2020.
As a part of the Massachusetts Department of Energy Resources' effort to incentivize the usage of renewable energy, the Massachusetts Offers Rebates for Electric Vehicles (MOR-EV) initiative was created. With this incentive, residents may qualify for a state-provided incentive of up to $2,500 for the purchase or lease of an electric vehicle, or $1,500 for the purchase or lease of a plug-in hybrid vehicle. This rebate is available in addition to the tax credits offered by the United States Department of Energy for the purchase of electric and plug-in hybrid vehicles.
For income-eligible residents, Mass Save has partnered with Massachusetts Community Action Program Agencies and Low-Income Energy Affordability Network (LEAN) to offer residents assistance with upgrades to their homes that will result in more efficient energy usage. Residents may qualify for a replacement of their heating system, insulation installation, appliances, and thermostats if they meet the income qualifications provided on Mass Save's website. For residents of 5+ family residential buildings, there are additional income-restricted benefits available through LEAN. If at least 50 percent of the residents of the building qualify as low income, energy efficiency improvements like those available through Mass Save are available. Residential structures operated by non-profit organizations, for profit operations, or housing authorities may take advantage of these programs.
In late 2020, the administration of Massachusetts governor Charlie Baker released a decarbonization roadmap to aim for net-zero greenhouse gas emissions by 2050. The plan calls for major investments in offshore wind and solar energy. It would also require all new cars sold in the state to be zero-emissions (electric or hydrogen powered) by 2035."
Demographics -> Race and ancestry,"The state's most populous ethnic group, non-Hispanic white, has declined from 95.4% in 1970 to 67.6% in 2020. 

As of 2011, non-Hispanic whites were involved in 63.6% of all the births, while 36.4% of the population of Massachusetts younger than age 1 was minorities (at least one parent who was not non-Hispanic white). One major reason for this is that non-Hispanic whites in Massachusetts recorded a total fertility rate of 1.36 in 2017, the second-lowest in the country after neighboring Rhode Island.

As late as 1795, the population of Massachusetts was nearly 95% of English ancestry. During the early and mid-19th century, immigrant groups began arriving in Massachusetts in large numbers; first from Ireland in the 1840s; today the Irish and part-Irish are the largest ancestry group in the state at nearly 25% of the total population. Others arrived later from Quebec as well as places in Europe such as Italy, Portugal, and Poland. In the early 20th century, a large percentage of black immigrants were from the Caribbean island of Barbados, and mostly settled in Cambridge and Boston's South End. In the Great Migration of 1910 to 1970, African Americans migrated to Massachusetts, although in somewhat fewer numbers than many other northern states. Later in the 20th century, immigration from Latin America increased considerably. More than 156,000 Chinese Americans made their home in Massachusetts in 2014, and Boston hosts a growing Chinatown accommodating heavily traveled Chinese-owned bus lines to and from Chinatown, Manhattan in New York City. Massachusetts also has large Dominican, Puerto Rican, Haitian, Cape Verdean and Brazilian populations. Boston's South End and Jamaica Plain are both gay villages, as is nearby Provincetown, Massachusetts on Cape Cod.

The largest ancestry group in Massachusetts are the Irish, at 22.5% of the population, who live in significant numbers throughout the state but form more than 40% of the population along the South Shore in Norfolk and Plymouth counties. In both counties overall, Irish-Americans comprise more than 30% of the population). Italians form the second-largest ethnic group in the state (13.5%), but form a plurality in some suburbs north of Boston and in a few towns in the Berkshires. English Americans, the third-largest (11.4%) group, form a plurality in some western towns. French and French Canadians also form a significant part (10.7%), with sizable populations in Bristol, Hampden, and Worcester Counties, along with Middlesex county especially concentrated in the areas surrounding Lowell and Lawrence.  Lowell is home to the second-largest Cambodian community of the nation. Massachusetts is home to a small community of Greek Americans as well, which according to the American Community Survey there are 83,701 of them scattered along the state (1.2% of the total state population). There are also several populations of Native Americans in Massachusetts. The Wampanoag tribe maintains reservations at Aquinnah on Martha's Vineyard and at Mashpee on Cape Cod—with an ongoing native language revival project underway since 1993, while the Nipmuc maintain two state-recognized reservations in the central part of the state, including one at Grafton.
Massachusetts has avoided many forms of racial strife seen elsewhere in the US, but examples such as the successful electoral showings of the nativist (mainly anti-Catholic) Know Nothings in the 1850s, the controversial Sacco and Vanzetti executions in the 1920s, and Boston's opposition to desegregation busing in the 1970s.
The US Census treats Hispanic/Latino as an ethnic category. This table excludes Latinos from the racial categories and assigns them to a separate category. Hispanics/Latinos may be of any race, and ""NH"" means ""Non-Hispanic""."
Demographics -> Languages,"The most common varieties of American English spoken in Massachusetts, other than General American, are the cot-caught distinct, rhotic, western Massachusetts dialect and the cot-caught merged, non-rhotic, eastern Massachusetts dialect which is popularly known as a ""Boston accent"".

As of 2010, 78.93% (4,823,127) of Massachusetts residents 5 and older spoke English at home as a first language, while 7.50% (458,256) spoke Spanish, 2.97% (181,437) Portuguese, 1.59% (96,690) Chinese (which includes Cantonese and Mandarin), 1.11% (67,788) French, 0.89% (54,456) French Creole, 0.72% (43,798) Italian, 0.62% (37,865) Russian, and Vietnamese was spoken as a primary language by 0.58% (35,283) of the population over 5. In total, 21.07% (1,287,419) of Massachusetts's population 5 and older spoke a first language other than English."
Demographics -> Religion,"Massachusetts was founded and settled by Brownist Puritans in 1620, and soon after by other groups of Separatists/Dissenters, Nonconformists and Independents from 17th century England. A majority of people in Massachusetts today remain Christians. The descendants of the Puritans belong to many different churches; in the direct line of inheritance are the various Congregational churches, the United Church of Christ and congregations of the Unitarian Universalist Association. The headquarters of the Unitarian Universalist Association, long located on Beacon Hill, is now located in South Boston. Many Puritan descendants also dispersed to other Protestant denominations. Some disaffiliated along with Roman Catholics and other Christian groups in the wake of modern secularization.
As of the 2014 Pew study, Christians made up 57% of the state's population, with Protestants making up 21% of them. Roman Catholics made up 34% and now predominate because of massive immigration from primarily Catholic countries and regions—chiefly Ireland, Italy, Poland, Portugal, Quebec, and Latin America. Both Protestant and Roman Catholic communities have been in decline since the late 20th century, due to the rise of irreligion in New England. It is the most irreligious region of the country, along with the Western United States; for comparison and contrast however, in 2020, the Public Religion Research Institute determined 67% of the population were Christian reflecting a slight increase of religiosity. A significant Jewish population immigrated to the Boston and Springfield areas between 1880 and 1920. Jews make up 3% of the population. Mary Baker Eddy made the Boston Mother Church of Christian Science serve as the world headquarters of this new religious movement. Buddhists, Pagans, Hindus, Seventh-day Adventists, Muslims, and Mormons may also be found. The Satanic Temple has its headquarters in Salem. Kripalu Center in Stockbridge, the Shaolin Meditation Temple in Springfield, and the Insight Meditation Center in Barre are examples of non-Abrahamic religious centers in Massachusetts. According to 2010 data from The Association of Religion Data Archives, (ARDA) the largest single denominations are the Catholic Church with 2,940,199 adherents; the United Church of Christ with 86,639 adherents; and the Episcopal Church with 81,999 adherents.
In 2014, 32% of the population identified as having no religion; in a separate 2020 study, 23% of the population identified as irreligious, and 67% of the population identified as Christians (including 26% as white Protestants and 20% as white Catholics). As of 2022, a plurality of Massachusettsans were irreligious, and the state is considered to be a part of the Unchurched Belt."
Demographics -> Native American tribes,"What became Massachusetts was originally inhabited by the Wampanoag, the Nipmuc, the Massachusett, the Pocumtuc, the Nauset, the Pennacook, and a few other tribes. Some of these tribes are still represented among the population of the state.
The largest Native American tribes in Massachusetts according to the 2010 census are listed in this table."
Education,"In 2018, Massachusetts's overall educational system was ranked the top among all fifty U.S. states by U.S. News & World Report. Massachusetts was the first state in North America to require municipalities to appoint a teacher or establish a grammar school with the passage of the Massachusetts Education Law of 1647, and 19th century reforms pushed by Horace Mann laid much of the groundwork for contemporary universal public education which was established in 1852. Massachusetts is home to the oldest school in continuous existence in North America (The Roxbury Latin School, founded in 1645), as well as the country's oldest public elementary school (The Mather School, founded in 1639), its oldest high school (Boston Latin School, founded in 1635), its oldest continuously operating boarding school (The Governor's Academy, founded in 1763), its oldest college (Harvard University, founded in 1636), and its oldest women's college (Mount Holyoke College, founded in 1837). Massachusetts is also home to the highest ranked private high school in the United States, Phillips Academy in Andover, Massachusetts, which was founded in 1778.
Massachusetts's per-student public expenditure for elementary and secondary schools was eighth in the nation in 2012, at $14,844. In 2013, Massachusetts scored highest of all the states in math and third-highest in reading on the National Assessment of Educational Progress. The state's public school students are in the top tier of global academic performance. In 2022, Massachusetts was first or second in the reading and mathematics average scores and proficiency percentages of the evaluated 4th and 8th graders.
Massachusetts hosts 121 institutions of higher education. Harvard University and the Massachusetts Institute of Technology, both located in Cambridge, consistently rank among the world's best private universities and universities in general. In addition to Harvard and MIT, several other Massachusetts universities rank in the top 50 at the undergraduate level nationally in the widely cited rankings of U.S. News & World Report: Tufts University (#27), Boston College (#32), Brandeis University (#34), Boston University (#37) and Northeastern University (#40). Massachusetts is also home to three of the top five U.S. News & World Report's best Liberal Arts Colleges: Williams College (#1), Amherst College (#2), and Wellesley College (#4). It is also home to the oldest Catholic liberal arts college, College of the Holy Cross (#33). Boston Architectural College is New England's largest private college of spatial design. The public University of Massachusetts (nicknamed UMass) features five campuses in the state, with its flagship campus in Amherst, which enrolls more than 25,000.
As of 2021, Massachusetts has the highest percentage of adults over the age of 25 with a bachelor's degree (46.62%) and a graduate degree (21.27%) of any state in the country."
Economy -> Agriculture,"As of 2012, there were 7,755 farms in Massachusetts encompassing a total of 523,517 acres (2,120 km2), averaging 67.5 acres (27.3 hectares) apiece. Greenhouse, floriculture, and sod products – including the ornamental market – make up more than one third of the state's agricultural output. Particular agricultural products of note also include cranberries, sweet corn and apples are also large sectors of production. Fruit cultivation is an important part of the state's agricultural revenues, and Massachusetts is the second-largest cranberry-producing state after Wisconsin."
Economy -> Taxation,"Depending on how it is calculated, state and local tax burden in Massachusetts has been estimated among U.S. states and Washington D.C. as 21st-highest (11.44% or $6,163 per year for a household with nationwide median income) or 25th-highest overall with below-average corporate taxes (39th-highest), above-average personal income taxes, (13th-highest), above-average sales tax (18th-highest), and below-average property taxes (46th-highest). In the 1970s, the Commonwealth ranked as a relatively high-tax state, gaining the pejorative nickname ""Taxachusetts"". This was followed by a round of tax limitations during the 1980s—a conservative period in American politics—including Proposition 2½.
As of January 1, 2020, Massachusetts has a flat-rate personal income tax of 5.00%, after a 2002 voter referendum to eventually lower the rate to 5.0% as amended by the legislature. There is a tax exemption for income below a threshold that varies from year to year. The corporate income tax rate is 8.8%, and the short-term capital gains tax rate is 12%. An unusual provision allows filers to voluntarily pay at the pre-referendum 5.85% income tax rate, which is done by between one and two thousand taxpayers per year.
The state imposes a 6.25% sales tax on retail sales of tangible personal property—except for groceries, clothing (up to $175.00), and periodicals. The sales tax is charged on clothing that costs more than $175.00, for the amount exceeding $175.00. Massachusetts also charges a use tax when goods are bought from other states and the vendor does not remit Massachusetts sales tax; taxpayers report and pay this on their income tax forms or dedicated forms, though there are ""safe harbor"" amounts that can be paid without tallying up actual purchases (except for purchases over $1,000). There is no inheritance tax and limited Massachusetts estate tax related to federal estate tax collection."
Economy -> Energy,"Massachusetts's electricity generation market was made competitive in 1998, enabling retail customers to change suppliers without changing utility companies. In 2018, Massachusetts consumed 1,459 trillion BTU, making it the seventh-lowest state in terms of consumption of energy per capita, and 31 percent of that energy came from natural gas. In 2014 and 2015, Massachusetts was ranked as the most energy efficient state the United States while Boston is the most efficient city, but it had the fourth-highest average residential retail electricity prices of any state. In 2018, renewable energy was about 7.2 percent of total energy consumed in the state, ranking 34th."
Transportation -> Regional public transportation,"The Massachusetts Bay Transportation Authority (MBTA), also known as ""The T"", operates public transportation in the form of subway, bus, and ferry systems in the Metro Boston area.
Fifteen other regional transit authorities provide public transportation in the form of bus services in the rest of the state. Four heritage railways are also in operation: 

The Cape Cod Central Railroad, operating from Hyannis to Buzzards Bay
The Berkshire Scenic Railway, operating from Lee to Great Barrington
Edaville Railroad in Carver
The Lowell National Historical Park Trolley Line in Lowell"
Transportation -> Long-distance rail and bus,"Amtrak operates several inter-city rail lines in Massachusetts. Boston's South Station serves as the terminus for three lines, namely the high-speed Acela Express, which links to cities such as Providence, New Haven, New York City, and eventually Washington DC; the Northeast Regional, which follows the same route but includes many more stops, and also continues further south to Newport News in Virginia; and the Lake Shore Limited, which runs westward to Worcester, Springfield, and eventually Chicago. Boston's other major station, North Station, serves as the southern terminus for Amtrak's Downeaster, which connects to Portland and Brunswick in Maine.
Outside of Boston, Amtrak connects several cities across Massachusetts, along the aforementioned Acela, Northeast Regional, Lake Shore Limited, and Downeaster lines, as well as other routes in central and western Massachusetts. The Amtrak Hartford Line connects Springfield to New Haven, operated in conjunction with the Connecticut Department of Transportation, and the Valley Flyer runs a similar route but continues further north to Greenfield. Several stations in western Massachusetts are also served by the Vermonter, which connects St. Albans, Vermont to Washington DC.
Amtrak carries more passengers between Boston and New York than all airlines combined (about 54% of market share in 2012), but service between other cities is less frequent. There, more frequent intercity service is provided by private bus carriers, including Peter Pan Bus Lines (headquartered in Springfield), Greyhound Lines, OurBus, BoltBus and Plymouth and Brockton Street Railway. Various Chinatown bus lines depart for New York from South Station in Boston.
MBTA Commuter Rail services run throughout the larger Greater Boston area, including service to Worcester, Fitchburg, Haverhill, Newburyport, Lowell, and Kingston. This overlaps with the service areas of neighboring regional transportation authorities. As of the summer of 2013 the Cape Cod Regional Transit Authority in collaboration with the MBTA and the Massachusetts Department of Transportation (MassDOT) is operating the CapeFLYER providing passenger rail service between Boston and Cape Cod."
Transportation -> Ferry,"Most ports north of Cape Cod are served by Boston Harbor Cruises, which operates ferry services in and around Greater Boston under contract with the Massachusetts Bay Transportation Authority. Several routes connect the downtown area with Hingham, Hull, Winthrop, Salem, Logan Airport, Charlestown, and some of the islands located within the harbor. The same company also operates seasonal service between Boston and Provincetown.
On the southern shore of the state, several different passenger ferry lines connect Martha's Vineyard to ports along the mainland, including Woods Hole, Hyannis, New Bedford, and Falmouth, all in Massachusetts, as well as North Kingstown in Rhode Island, Highlands in New Jersey, and New York City in New York. Similarly, several different lines connect Nantucket to ports including Hyannis, New Bedford, Harwich, and New York City. Service between the two islands is also offered. The dominant companies serving these routes include SeaStreak, Hy-Line Cruises, and The Steamship Authority, the latter of which regulates all passenger services in the region and is also the only company permitted to offer freight ferry services to the islands.
Other ferry connections in the state include a water taxi connecting various points in Fall River, seasonal ferry service connecting Plymouth to Provincetown, and a service between New Bedford and Cuttyhunk."
Transportation -> Rail freight,"As of 2018, a number of freight railroads were operating in Massachusetts, with Class I railroad CSX being the largest carrier, and another Class 1, Norfolk Southern serving the state via its Pan Am Southern joint partnership. Several regional and short line railroads also provide service and connect with other railroads. Massachusetts has a total of 1,110 miles (1,790 km) of freight trackage in operation."
Transportation -> Air service,"Boston Logan International Airport served 33.5 million passengers in 2015 (up from 31.6 million in 2014) through 103 gates. Logan, Hanscom Field in Bedford, and Worcester Regional Airport are operated by Massport, an independent state transportation agency. Massachusetts has 39 public-use airfields and more than 200 private landing spots. Some airports receive funding from the Aeronautics Division of the Massachusetts Department of Transportation and the Federal Aviation Administration; the FAA is also the primary regulator of Massachusetts air travel."
Transportation -> Roads,"There are a total of 36,800 miles (59,200 km) of interstates and other highways in Massachusetts. Interstate 90 (I-90, also known as the Massachusetts Turnpike), is the longest interstate in Massachusetts. The route travels 136 mi (219 km) generally west to east, entering Massachusetts at the New York state line in the town of West Stockbridge, and passes just north of Springfield, just south of Worcester and through Framingham before terminating near Logan International Airport in Boston. Other major interstates include I-91, which travels generally north and south along the Connecticut River; I-93, which travels north and south through central Boston, then passes through Methuen before entering New Hampshire; and I-95, which connects Providence, Rhode Island with Greater Boston, forming a partial loop concurrent with Route 128 around the more urbanized areas before continuing north along the coast into New Hampshire.
I-495 forms a wide loop around the outer edge of Greater Boston. Other major interstates in Massachusetts include I-291, I-391, I-84, I-195, I-395, I-290, and I-190. Major non-interstate highways in Massachusetts include U.S. Routes 1, 3, 6, and 20, and state routes 2, 3, 9, 24, and 128. A great majority of interstates in Massachusetts were constructed during the mid-20th century, and at times were controversial, particularly the intent to route I-95 northeastwards from Providence, Rhode Island, directly through central Boston, first proposed in 1948. Opposition to continued construction grew, and in 1970 Governor Francis W. Sargent issued a general prohibition on most further freeway construction within the I-95/Route 128 loop in the Boston area. A massive undertaking to bring I-93 underground in downtown Boston, called the Big Dig, brought the city's highway system under public scrutiny for its high cost and construction quality."
Government and politics -> Government -> Executive branch,"As chief executive, the governor is responsible for signing or vetoing legislation, filling judicial and agency appointments, granting pardons, preparing an annual budget, and commanding the Massachusetts National Guard. Massachusetts governors, unlike those of most other states, are addressed as His/Her Excellency. The governor is Maura Healey and the incumbent lieutenant governor is Kim Driscoll. The governor conducts the affairs of state alongside a separate Governor's Council made up of the lieutenant governor and eight separately elected councilors. The council is charged by the state constitution with reviewing and confirming gubernatorial appointments and pardons, approving disbursements out of the state treasury, and certifying elections, among other duties.
Aside from the governor and Governor's Council, the executive branch also includes four independently elected constitutional officers: a secretary of the commonwealth, an attorney general, a state treasurer, and a state auditor. The commonwealth's incumbent constitutional officers are respectively William F. Galvin, Andrea Campbell, Deb Goldberg and Diana DiZoglio, all Democrats. In accordance with state statute, the secretary of the commonwealth administers elections, regulates lobbyists and the securities industry, registers corporations, serves as register of deeds for the entire state, and preserves public records as keeper of the state seal. Meanwhile, the attorney general provides legal services to state agencies, combats fraud and corruption, investigates and prosecutes crimes, and enforces consumer protection, environment, labor, and civil rights laws as Massachusetts chief lawyer and law enforcement officer. At the same time, the state treasurer manages the state's cash flow, debt, and investments as chief financial officer, whereas the state auditor conducts audits, investigations, and studies as chief audit executive in order to promote government accountability and transparency and improve state agency financial management, legal compliance, and performance."
Government and politics -> Government -> Legislative branch,"The Massachusetts House of Representatives and Massachusetts Senate comprise the legislature of Massachusetts, known as the Massachusetts General Court. The House consists of 160 members while the Senate has 40 members. Leaders of the House and Senate are chosen by the members of those bodies; the leader of the House is known as the Speaker while the leader of the Senate is known as the President. Each branch consists of several committees. Members of both bodies are elected to two-year terms."
Government and politics -> Government -> Judicial branch,"The Massachusetts Supreme Judicial Court (a chief justice and six associates) are appointed by the governor and confirmed by the Governor's Council, as are all other judges in the state.
Federal court cases are heard in the United States District Court for the District of Massachusetts, and appeals are heard by the United States Court of Appeals for the First Circuit."
Government and politics -> Government -> Federal representation,"The Congressional delegation from Massachusetts is entirely Democratic. The Senators are Elizabeth Warren and Ed Markey while the Representatives are Richard Neal (1st), Jim McGovern (2nd), Lori Trahan (3rd), Jake Auchincloss (4th), Katherine Clark (5th), Seth Moulton (6th), Ayanna Pressley (7th), Stephen Lynch (8th), and Bill Keating (9th).
In U.S. presidential elections since 2012, Massachusetts has been allotted 11 votes in the electoral college, out of a total of 538. Like most states, Massachusetts's electoral votes are granted in a winner-take-all system."
Government and politics -> Politics,"For more than 70 years, Massachusetts has shifted from a previously Republican-leaning state to one largely dominated by Democrats; the 1952 victory of John F. Kennedy over incumbent Senator Henry Cabot Lodge Jr. is seen as a watershed moment in this transformation. His younger brother Edward M. Kennedy held that seat until his death from a brain tumor in 2009. Since the 1950s, Massachusetts has gained a reputation as being a politically liberal state and is often used as an archetype of modern liberalism, hence the phrase ""Massachusetts liberal"".
Massachusetts is one of the most Democratic states in the country. Democratic core concentrations are everywhere, except for a handful of Republican leaning towns in the Central and Southern parts of the state. Until recently, Republicans were dominant in the Western and Northern suburbs of Boston, however both areas heavily swung Democratic in the Trump era. The state as a whole has not given its Electoral College votes to a Republican in a presidential election since Ronald Reagan carried it in 1984, and not a single county has voted for a Republican presidential candidate since 1988. Additionally, Massachusetts provided Reagan with his smallest margins of victory in both the 1980 and 1984 elections. Massachusetts had been the only state to vote for Democrat George McGovern in the 1972 presidential election. In 2020, Biden received 65.6% of the vote, the best performance in over 50 years for a Democrat.
Democrats have an absolute grip on the Massachusetts congressional delegation; there are no Republicans elected to serve at the federal level. Both Senators and all nine Representatives are Democrats; only one Republican (former Senator Scott Brown) has been elected to either house of Congress from Massachusetts since 1994. Massachusetts is the most populous state to be represented in the United States Congress entirely by a single party.
As of the 2018 elections, the Democratic Party holds a super-majority over the Republican Party in both chambers of the Massachusetts General Court (state legislature). Out of the state house's 160 seats, Democrats hold 127 seats (79%) compared to the Republican Party's 32 seats (20%), an independent sits in the remaining one, and 37 out of the 40 seats in the state senate (92.5%) belong to the Democratic Party compared to the Republican Party's three seats (7.5%). Both houses of the legislature have had Democratic majorities since the 1950s.

Despite the state's Democratic-leaning tendency, Massachusetts has generally elected Republicans as Governor: only two Democrats (Deval Patrick and Maura Healey) have served as governor since 1991, and among gubernatorial election results from 2002 to 2022, Republican nominees garnered 48.4% of the vote compared to 45.7% for Democratic nominees. These have been considered to be among the most moderate Republican leaders in the nation; they have received higher net favorability ratings from the state's Democrats than Republicans.
A number of contemporary national political issues have been influenced by events in Massachusetts, such as the decision in 2003 by the state Supreme Judicial Court allowing same-sex marriage and a 2006 bill which mandated health insurance for all Massachusetts residents. In 2008, Massachusetts voters passed an initiative decriminalizing possession of small amounts of marijuana. Voters in Massachusetts also approved a ballot measure in 2012 that legalized the medical use of marijuana. Following the approval of a ballot question endorsing legalization in 2016, Massachusetts began issuing licenses for the regulated sale of recreational marijuana in June 2018. The licensed sale of recreational marijuana became legal on July 1, 2018; however, the lack of state-approved testing facilities prevented the sale of any product for several weeks. However, in 2020, a ballot initiative to implement Ranked-Choice Voting failed, despite being championed by many progressives.
Massachusetts is one of the most pro-choice states in the Union. A 2014 Pew Research Center poll found that 74% of Massachusetts residents supported the right to an abortion in all/most cases, making Massachusetts the most pro-choice state in the United States.
In 2020, the state legislature overrode Governor Charlie Baker's veto of the ROE Act, a controversial law that codified existing abortion laws in case the Supreme Court overturned Roe v. Wade, dropped the age of parental consent for those seeking an abortion from 18 to 16, and legalized abortion after 24 weeks, if a fetus had fatal anomalies, or ""to preserve the patient's physical or mental health.""
The 2023 American Values Atlas by Public Religion Research Institute found that same-sex marriage is supported near-universally by Massachusettsans."
"Cities, towns, and counties","As of 2023, there are 292 towns and 59 cities in Massachusetts. Over time, many towns have voted to become cities; 14 municipalities still refer to themselves as ""towns"" even though they have a city form of government.
There are 50 cities and 301 towns in Massachusetts, grouped into 14 counties. The fourteen counties, moving roughly from west to east, are Berkshire, Franklin, Hampshire, Hampden, Worcester, Middlesex, Essex, Suffolk, Norfolk, Bristol, Plymouth, Barnstable, Dukes, and Nantucket. Eleven communities which call themselves ""towns"" are, by law, cities since they have traded the town meeting form of government for a mayor-council or manager-council form.
Boston is the state capital in Massachusetts. The population of the city proper is 692,600, and Greater Boston, with a population of 4,873,019, is the 11th largest metropolitan area in the nation. Other cities with a population over 100,000 include Worcester, Springfield, Lowell, Cambridge, Brockton, Quincy, New Bedford, and Lynn. Plymouth is the largest municipality in the state by land area, followed by Middleborough.
Massachusetts, along with the five other New England states, features the local governmental structure known as the New England town. In this structure, incorporated towns—as opposed to townships or counties—hold many of the responsibilities and powers of local government. Most of the county governments were abolished by the state of Massachusetts beginning in 1997 including Middlesex County, the largest county in the state by population. The voters of these now-defunct counties elect only Sheriffs and Registers of Deeds, who are part of the state government. Other counties have been reorganized, and a few still retain county councils."
